clus,price,ha,la
,80000000,581,2300
,80000000,581,2400
,80000000,581,2300
,80000000,428,2300
,80000000,428,2300
,194340000,404,2800
,163040000,390,2800
,48000000,533,2700
,182600000,504,2400
,182600000,489,2400
,182600000,504,2400
,194990000,474,2400
,182600000,504,2400
,182600000,504,2400
,182600000,504,2400
,182600000,504,2400
,101080000,745,2700
,89000000,800,2500
,104000000,745,2700
,101080000,745,2700
,97170000,760,3200
,120000000,774,3500
,120000000,774,3500
,97170000,759,3300
,113400000,800,3500
,97170000,759,3300
,97170000,759,3300
,97170000,759,3300
,97170000,759,3300
,97170000,759,3300
,97170000,767,3200
,521730000,1200,3800
,436950000,1200,3800
,436950000,1200,3800
,436950000,1200,3700
,436950000,1200,3800
,163040000,700,3000
,163040000,700,3000
,163040000,700,3000
,132000000,460,2400
,133690000,474,2600
,130000000,450,2400
,133690000,474,2600
,132000000,460,2400
,273910000,800,3700
,273910000,800,3700
,782600000,630,3500
,79000000,803,2400
,79000000,803,2400
,89000000,803,2400
,101090000,800,2400
,112000000,835,2200
,70000000,366,1900
,82490000,400,1900
,130430000,680,2900
,127170000,680,2900
,257600000,500,2500
,228250000,540,2500
,228250000,540,2500
,257600000,500,2500
,257600000,500,2500
,228250000,540,2500
,257600000,500,2500
,129000000,580,1600
,130430000,580,1600
,489120000,715,3500
,489120000,715,3500
,489120000,715,3500
,489120000,715,3500
,489120000,715,3500
,489120000,715,3500
,155000000,750,2700
,155000000,750,2700
,130430000,670,2500
,130430000,670,2500
,130430000,670,2500
,130430000,785,2000
,326080000,1500,3000
,351510000,1500,3000
,351510000,1500,3000
,351510000,1500,3000
,100000000,630,2700
,100000000,630,2700
,120650000,616,2900
,120000000,800,2800
,120000000,800,2800
,120000000,850,2800
,176090000,560,2600
,175000000,610,2800
,234780000,650,2700
,260860000,1280,2800
,85000000,662,1900
,224990000,550,1800
,192380000,550,1800
,228250000,450,2600
,175000000,392,1800
,175000000,392,1800
,175000000,392,1800
,108000000,438,2000
,130430000,600,2000
,143470000,600,2000
,70000000,400,1500
,277170000,620,1700
,277170000,620,1700
,96390000,300,1800
,163040000,441,2800
,195000000,1400,3000
,220000000,826,2800
,220000000,800,3000
,85000000,750,3500
,97170000,759,3800
,85000000,750,3500
,97170000,759,3800
,66000000,425,1800
,61000000,425,1800
,223690000,505,3300
,223690000,505,3300
,223690000,505,3300
,326080000,420,1600
,194340000,464,2000
,194340000,450,2000
,95000000,480,3000
,195650000,630,2400
,378250000,650,2900
,114120000,511,2200
,247820000,404,2000
,208690000,630,3700
,208690000,630,3700
,189120000,850,3500
,80000000,726,3300
,80000000,726,3300
